,Id,prediction
0,746,snacks
1,747,appetizer
2,748,snacks
3,749,snacks
4,750,appetizer
5,751,snacks
6,752,appetizer
7,753,appetizer
8,754,appetizer
9,755,appetizer
10,756,beverage
11,757,condiment
12,758,dessert
13,759,appetizer
14,760,beverage
15,761,condiment
16,762,beverage
17,763,appetizer
18,764,dessert
19,765,beverage
20,766,condiment
21,767,beverage
22,768,condiment
23,769,appetizer
24,770,appetizer
25,771,dessert
26,772,snacks
27,773,beverage
28,774,appetizer
29,775,dessert
30,776,beverage
31,777,appetizer
32,778,dessert
33,779,dessert
34,780,snacks
35,781,condiment
36,782,condiment
37,783,appetizer
38,784,dessert
39,785,appetizer
40,786,dessert
41,787,dessert
42,788,appetizer
43,789,appetizer
44,790,beverage
45,791,snacks
46,792,dessert
47,793,dessert
48,794,appetizer
49,795,appetizer
50,796,dessert
51,797,snacks
52,798,condiment
53,799,snacks
54,800,snacks
55,801,snacks
56,802,snacks
57,803,dessert
58,804,dessert
59,805,dessert
60,806,snacks
61,807,beverage
62,808,beverage
63,809,snacks
64,810,beverage
65,811,dessert
66,812,condiment
67,813,beverage
68,814,appetizer
69,815,beverage
70,816,condiment
71,817,condiment
72,818,dessert
73,819,beverage
74,820,condiment
75,821,condiment
76,822,beverage
77,823,condiment
78,824,condiment
79,825,beverage
80,826,appetizer
81,827,appetizer
82,828,condiment
83,829,appetizer
84,830,appetizer
85,831,appetizer
86,832,beverage
87,833,snacks
88,834,beverage
89,835,dessert
90,836,appetizer
91,837,condiment
92,838,condiment
93,839,snacks
94,840,beverage
95,841,appetizer
96,842,appetizer
97,843,appetizer
98,844,dessert
99,845,condiment
100,846,dessert
101,847,condiment
102,848,condiment
103,849,beverage
104,850,appetizer
105,851,condiment
106,852,snacks
107,853,dessert
108,854,snacks
109,855,condiment
110,856,snacks
111,857,snacks
112,858,snacks
113,859,snacks
114,860,appetizer
115,861,condiment
116,862,snacks
117,863,snacks
118,864,snacks
119,865,appetizer
120,866,appetizer
121,867,snacks
122,868,beverage
123,869,snacks
124,870,appetizer
125,871,dessert
126,872,dessert
127,873,dessert
128,874,snacks
129,875,appetizer
130,876,appetizer
131,877,snacks
132,878,condiment
133,879,beverage
134,880,dessert
135,881,dessert
136,882,dessert
137,883,beverage
138,884,dessert
139,885,appetizer
140,886,beverage
141,887,beverage
142,888,beverage
143,889,dessert
144,890,snacks
145,891,condiment
146,892,appetizer
147,893,appetizer
148,894,appetizer
149,895,condiment
150,896,snacks
151,897,dessert
152,898,appetizer
153,899,snacks
154,900,condiment
155,901,beverage
156,902,dessert
157,903,beverage
158,904,appetizer
159,905,beverage
160,906,dessert
161,907,beverage
162,908,beverage
163,909,dessert
164,910,appetizer
165,911,dessert
166,912,dessert
167,913,dessert
168,914,beverage
169,915,beverage
170,916,dessert
171,917,condiment
172,918,dessert
173,919,dessert
174,920,appetizer
175,921,appetizer
176,922,beverage
177,923,condiment
178,924,beverage
179,925,condiment
180,926,appetizer
181,927,condiment
182,928,dessert
183,929,beverage
184,930,snacks
185,931,dessert
186,932,dessert
187,933,condiment
188,934,condiment
189,935,condiment
190,936,beverage
191,937,condiment
192,938,condiment
193,939,appetizer
194,940,appetizer
195,941,appetizer
196,942,appetizer
197,943,beverage
198,944,appetizer
199,945,appetizer
200,946,dessert
201,947,condiment
202,948,appetizer
203,949,beverage
204,950,condiment
205,951,condiment
206,952,beverage
207,953,dessert
208,954,beverage
209,955,snacks
210,956,condiment
211,957,beverage
212,958,appetizer
213,959,dessert
214,960,beverage
215,961,beverage
216,962,beverage
217,963,dessert
218,964,snacks
219,965,dessert
220,966,condiment
221,967,beverage
222,968,beverage
223,969,beverage
224,970,dessert
225,971,dessert
226,972,appetizer
227,973,appetizer
228,974,dessert
229,975,snacks
230,976,snacks
231,977,condiment
232,978,beverage
233,979,appetizer
234,980,condiment
235,981,snacks
236,982,beverage
237,983,condiment
238,984,condiment
239,985,condiment
240,986,beverage
241,987,beverage
242,988,condiment
243,989,beverage
244,990,appetizer
245,991,appetizer
246,992,appetizer
247,993,beverage
248,994,dessert
249,995,beverage
250,996,beverage
251,997,beverage
252,998,beverage
253,999,snacks
254,1000,appetizer
